org,nid,irs_name,ein,notes
United Jewish Foundation,509,UNITED JEWISH FOUNDATION,381360585,
University Liggett School,515,UNIVERSITY LIGGETT SCHOOL,381360536,
St. Vincent and Sarah Fisher Center (SVSF),4017,ST VINCENT AND SARAH FISHER CENTER,381359589,
Scarab Club,445,SCARAB CLUB,381359568,
Detroit Institute for Children,156,DETROIT INSTITUTE FOR CHILDREN,381359511,
Detroit Institute of Arts,157,THE DETROIT INSTITUTE OF ARTS,381359510,
Children's Center of Wayne County Inc.,3744,CHILDRENS CENTER OF WAYNE COUNTY INC,381359505,
Archdiocese of Detroit,29,ARCHDIOCESE OF DETROIT,381359274,
W.K. Kellogg Foundation,301,W K KELLOGG FOUNDATION,381359264,
Detroit Country Day School,141,DETROIT COUNTRY DAY SCHOOL,381359251,
Jewish Federation of Metropolitan Detroit,290,JEWISH FEDERATION OF METROPOLITAN DETROIT,381359214,
Grace Episcopal Church,244,GRACE EPISCOPAL CHURCH,381359088,
St John Hospital and Medical Center,476,ST JOHN HOSPITAL AND MEDICAL CENTER,381359063,
St John Hospital and Medical Center,2748,ST JOHN HOSPITAL AND MEDICAL CENTER,381359063,
Marygrove College,330,MARYGROVE COLLEGE,381358399,
"Detroit Urban League, Inc",178,DETROIT URBAN LEAGUE,381358387,
Legal Aid and Defender Association,315,LEGAL AID AND DEFENDER ASSOCIATION INC,381358203,
"International Institute of Metropolitan Detroit, Inc",283,INTERNATIONAL INSTITUTE OF METROPOLITAN DETROIT INC,381358200,
Brightmoor Community Center,65,BRIGHTMOOR COMMUNITY CENTER,381358169,
YMCA of Metropolitan Detroit,555,YMCA OF METROPOLITAN DETROIT,381358055,
Travelers Aid Society of Metropolitan Detroit,502,TRAVELERS AID SOCIETY OF METROPOLITAN DETROIT,381358052,
Matrix Human Services,331,MATRIX HUMAN SERVICES,381358015,
Jewish Vocational Service Community Workshop,291,JEWISH VOCATIONAL SERVICE AND COMMUNITY WORKSHOP,381358013,
Faith Covenant Church,213,FAITH COVENANT CHURCH,381358006,
Henry Ford Health System,263,HENRY FORD HEALTH SYSTEM,381357020,
"Junior Achievement of Southeastern Michigan, Inc",295,JUNIOR ACHIEVEMENT OF SOUTHEASTERN MICHIGAN,381348535,
Evangelical Homes of Michigan,209,EVANGELICAL HOMES OF MICHIGAN,381299215,
Methodist Children's Home Society,336,METHODIST CHILDRENS HOME SOCIETY,381240951,
Charles Stewart Mott Foundation,124,CHARLES STEWART MOTT FOUNDATION,381211227,
Engineering Society of Detroit,204,THE ENGINEERING SOCIETY OF DETROIT,381207155,
North Rosedale Park Civic Association,4043,NORTH ROSEDALE PARK CIVIC ASSOCIATION,380882424,
McGregor Fund,334,MCGREGOR FUND,380808800,
Detroit Economic Club,3218,DETROIT ECONOMIC CLUB,380508823,
Green Place Detroit,252,GREEN PLACE DETROIT,371585311,
Michigan Interfaith Voice,3761,MICHIGAN INTERFAITH VOICE,371476114,
We Care Senior Meals Program,546,WE CARE SENIOR MEALS PROGRAM,371468608,
Michigan College Access Network,580,MICHIGAN COLLEGE ACCESS NETWORK,364619621,
Villages Community Development Corporation,526,VILLAGES COMMUNITY DEVELOPMENT CORPORATION,364598309,
Institute for Population Health Inc.,2754,INSTITUTE FOR POPULATION HEALTH INC,352445761,
FIRST in Michigan,220,FIRST IN MICHIGAN,331184695,
Detroit Childrens Choir,137,DETROIT CHILDRENS CHOIR INC,331141820,
Detroit Black Community Food Security Network (DBCFSN),133,DETROIT BLACK COMMUNITY FOOD SECURITY NETWORK INC,331140762,
Detroit Parent Network,164,DETROIT PARENT NETWORK,331054423,
Metropolitan Detroit Center for Independent Living ,4302,METROPOLITAN DETROIT CENTER FOR INDEPENDENT LIVING,320171869,
Center for Michigan,81,THE CENTER FOR MICHIGAN INC,320167398,
Children's Hospital of Michigan Foundation,90,CHILDRENS HOSPITAL OF MICHIGAN FOUNDATION,320087353,
Eastern Market Corporation,194,EASTERN MARKET CORPORATIOIN,320030432,
InsideOut Literary Arts Project,280,INSIDEOUT LITERARY ARTS PROJECT,311428704,
"Eta Phi Beta Sorority, Inc",208,ETA PHI BETA SORORITY INC,310892078,
Greening of Detroit,253,GREENING OF DETROIT,310036036,
Detroit Public Schools Foundation,2750,DETROIT PUBLIC SCHOOLS FOUNDATION,300135450,
Michigan Suburbs Alliance,357,MICHIGAN SUBURBS ALLIANCE,300133271,
"Detroit Riverfront Conservancy, Inc",172,DETROIT RIVERFRONT CONSERVANCY INC,300125283,
Thompson Educational Foundation,499,THOMPSON EDUCATIONAL FOUNDATION,300107259,
Women's Leadership Forum,551,WOMENS LEADERSHIP FORUM,300101343,
Detroit Public Safety Foundation,576,DETROIT PUBLIC SAFETY FOUNDATION,300056848,
Detroit 300 Conservancy,128,DETROIT 300 CONSERVANCY,300002873,
Michigan Now Radio and Television,2783,MICHIGAN NOW RADIO & TV,275364150,
Excellent Schools Detroit (ESD),211,EXCELLENT SCHOOLS DETROIT,274616034,
Boggs Educational Center Project Team (aka The James and Grace Lee Boggs School),54,BOGGS EDUCATIONAL CENTER PROJECT TEAM,274227822,
Green Door Initiative,251,THE GREEN DOOR INITIATIVE,273467703,
Recovery Park,573,RECOVERYPARK,273051022,
Pay it Forward Initiative,406,PAY IT FORWARD OUTREACH,273005033,
Michigan Arab Orchestra,617,MICHIGAN ARAB ORCHESTRA,272907966,
Racquet Up Detroit,426,RACQUET UP DETROIT,272620275,
New Paradigm for Education,390,NEW PARADIGM FOR EDUCATION INC,272059007,
Invest Detroit Foundation (IDF),284,INVEST DETROIT FOUNDATION,271927369,
East Michigan Christian Community Development Association,192,EAST MICHIGAN CHRISTIAN COMMUNITY DEVELOPMENT ASSOCIATION,271868498,
Neighbors Building Brightmoor Newsletters,3376,NEIGHBORS BUILDING BRIGHTMOOR,271578269,
Power House Productions,414,POWER HOUSE PRODUCTIONS,271435687,
Autism Alliance of Michigan,36,AUTISM ALLIANCE OF MICHIGAN,270472137,
Asian and Pacific Islander American Vote - Michigan,34,ASIAN AND PACIFIC ISLANDER AMERICAN VOTE - MICHIGAN,264514751,
Magenta Giraffe Theatre Company,3398,MAGENTA GIRAFFE THEATRE COMPANY,263692697,
Detroit Cristo Rey High School,142,DETROIT CRISTO REY HIGH SCHOOL INC,263176934,
Automation Alley Fund,37,AUTOMATION ALLEY FUND,263103776,
Aquaculture Research Corporation,590,AQUACULTURE RESEARCH CORPORATION,262589947,
M-1 Rail,2874,M-1 RAIL,262310566,
Young Nation,557,YOUNG NATION,262296175,
CultureSource,567,CULTURESOURCE,261476029,
Society for the Propagation of the Faith - Detroit ,3449,THE SOCIETY FOR THE PROPAGATION OF THE FAITH,261235496,
Bizdom U Fund,3140,BIZDOM U FUND,260730096,
"Man Power Mentoring, Inc",327,MAN POWER MENTORING INC,260714921,
Arts Alliance,3849,ARTS ALLIANCE,260638491,
"L & L Adult Day Care, Inc",309,L & L ADULT DAY CARE INC,260009074,
Michigan Legal Services,347,MICHIGAN LEGAL SERVICES,237383477,
Henry Ford Health System Foundation,264,HENRY FORD HEALTH SYSTEM FOUNDATION,237383042,
Belle Isle Conservancy,566,BELLE ISLE CONSERVANCY,237348118,
Accounting Aid Society,7,ACCOUNTING AID SOCIETY,237310753,
"National Association of Black Accountants, Inc",376,NATIONAL ASSOCIATION OF BLACK ACCOUNTANTS,237287046,
American Civil Liberties Union Fund of Michigan,24,AMERICAN CIVIL LIBERTIES UNION FUND OF MICHIGAN,237243421,
East Michigan Environmental Action Council,193,EAST MICHIGAN ENVIRONMENTAL ACTION COUNCIL INC,237241219,
Alumni Association of the University of Michigan,21,ALUMNI ASSOCIATION OF THE UNIVERSITY OF MICHIGAN,237206591,
"North American Indian Association of Detroit, Inc ",4311,NORTH AMERICAN INDIAN ASSOCIATION OF DETROIT INC,237192025,
Theodore Levin Memorial Foundation,496,THEODORE LEVIN MEMORIAL FOUNDATION,237156442,
Homes for Black Children,3174,HOMES FOR BLACK CHILDREN,237133965,
Business Leaders for Michigan Foundation,69,BUSINESS LEADERS FOR MICHIGAN FOUNDATION,237101167,
Wayne State University TechTown,544,WAYNE STATE UNIVERSITY,237080478,
Wayne State University Press,542,WAYNE STATE UNIVERSITY,237080478,
Wayne State University Damen Keith Collection,541,WAYNE STATE UNIVERSITY,237080478,
Wayne State University,539,WAYNE STATE UNIVERSITY,237080478,
"M.O.O.R.E. Community Council, Inc",326,MOORE COMMUNITY COUNCIL,237015428,
Alliance of Rouge Communities,565,ALLIANCE OF ROUGE COMMUNITIES,223931720,
Gamma Lambda Community Development Corporation ,3728,GAMMA LAMBDA COMMUNITY DEVELOPMENT CORPORATION,208794470,
A. Paul and Carol C. Schaap Foundation,4554,A PAUL AND CAROL C SCHAAPFOUNDATION,207097647,
Detroit Winter Blast Foundation,3805,THE WINTER BLAST FOUNDATION,205972962,
Fred A. & Barbara M. Erb Family Foundation,206,FRED A AND BARBARA M ERB FAMILY FOUNDATION,205966333,
Vera and Joseph Dresner Foundation Inc.,4578,VERA AND JOSEPH DRESNER FOUNDATIONINC,205838578,
Michigan Community Resources,344,MICHIGAN COMMUNITY RESOURCES,205764501,
"Great Lakes Aquatic Habitat Network and Fund, Inc.",2829,GREAT LAKES AQUATIC HABITAT NETWORKAND FUND INC,205693503,
Hatch: A Hamtramck Art Collective,604,HATCH - A HAMTRAMCK ART COLLECTIVE,205458992,
Horatio Williams Foundation,272,HORATIO WILLIAMS FOUNDATION,204981277,
SAY Detroit,444,S A Y DETROIT,204786626,
Sisters Acquiring Financial Empowerment,453,SISTERS ACQUIRING FINANCIAL EMPOWERMENT,204507746,
William Davidson Foundation,3106,WILLIAM DAVIDSON FOUNDATION,203899187,
Museum of Contemporary Art Detroit (MOCAD),373,MUSEUM OF CONTEMPORARY ART DETROIT,203872376,
International Wildlife Refuge Alliance,569,INTERNATIONAL WILDLIFE REFUGE ALLIANCE,203318708,
Michigan Roundtable for Diversity and Inclusion,353,MICHIGAN ROUNDTABLE FOR DIVERSITY AND INCLUSION,203122770,
United Way for Southeastern Michigan,512,UNITED WAY FOR SOUTHEASTERN MICHIGAN,203099071,
Detroit Midtown Micro-Enterprise Fund Corporation ,163,DETROIT MIDTOWN MICRO-ENTERPRISE FUND CORPORATION,202593806,
Voices of Detroit Initiative ,2862,VOICES OF DETROIT INITIATIVE,202333719,
Winning Futures,632,WINNING FUTURES,202263860,
Lions Hearing Center of Michigan,317,LIONS HEARING CENTER OF MICHIGAN,201311803,
State Voices,482,STATE VOICES,201115618,
Great Lakes Chamber Music Festival - Detroit Chamber Winds,247,GREAT LAKES CHAMBER MUSIC FESTIVAL OPERATING CORPORATION,201106153,
Wayne County SAFE Program,579,WAYNE COUNTY SAFE PROGRAM,200631006,
"Freedom Institute for Economic, Social Justice and Political Empowerment",232,FREEDOM INSTITUTE FOR ECONOMIC SOCIAL JUSTICE & PEOPLE EMPOWERMEN,200112266,
Society of Women Engineers - Detroit Section ,3725,SOCIETY OF WOMEN ENGINEERS,200086158,
"Brightmoor Alliance, Inc",64,BRIGHTMOOR ALLIANCE INC,61744841,
NextEnergy,394,NEXTENERGY CENTER,20648628,
Greater Mt Tabor Nonprofit Project,3212,GREATER MT TABOR NON PROFIT,20610352,
Care First Community Health Services,72,CAREFIRST COMMUNITY HEALTH SERVICES,20606865,
"Harriet Tubman Center, Inc",256,HARRIET TUBMAN CENTER,10885325,
Harriet Tubman Center for Recruitment and Development of Organizers,255,HARRIET TUBMAN CENTER,10885325,
Michigan State University,356,MICHIGAN STATE UNIVERSITY,10585619,
Allied Media Projects,19,ALLIED MEDIA PROJECTS INC,10559608,
